,Companion Name, Actor Name
0,River Song, Alex Kingston
1,Rory Williams, Arthur Darvill
2,Wilfred Mott, Bernard Cribbins
3,Rose Tyler, Billie Piper
4,Adam Mitchell, Bruno Langley
5,Donna Noble, Catherine Tate
6,Jackson Lake, David Morrissey
7,Sarah Jane Smith, Elisabeth Sladen
8,Martha Jones, Freema Agyeman
9,Craig Owens, James Corden
10,Clara Oswald, Jenna Coleman
11,Jack Harkness, John Barrowman
12,Amy Pond, Karen Gillan
13,Astrid Peth, Kylie Minogue
14,Adelaide Brooke, Lindsay Duncan
15,Lady Christina de Souza, Michelle Ryan
16,Mickey Smith, Noel Clarke
17,Rosita Farisi, Velle Tshabalala
